資料日期,代號,名稱,投資比例(%),持有股數
2026-06-05,2330,台積電,8.61,1706000
2026-06-05,2383,台光電,5.87,563000
2026-06-05,2345,智邦,5.19,977000
2026-06-05,3037,欣興,4.18,2097000
2026-06-05,6223,旺矽,4.01,326000
2026-06-05,8996,高力,3.91,1630000
2026-06-05,6669,緯穎,3.85,319000
2026-06-05,2454,聯發科,3.73,406000
2026-06-05,3017,奇鋐,3.52,634000
2026-06-05,2059,川湖,3.51,293000
2026-06-05,3665,貿聯-KY,3.06,652000
2026-06-05,6584,南俊國際,3.06,2204000
2026-06-05,3443,創意,2.93,311000
2026-06-05,2368,金像電,2.65,945000
2026-06-05,6515,穎崴,2.61,145000
2026-06-05,2327,國巨*,2.57,1566000
2026-06-05,3661,世芯-KY,2.4,262000
2026-06-05,2455,全新,2.34,2753000
2026-06-05,8299,群聯,2.33,445000
2026-06-05,6187,萬潤,2.08,870000
2026-06-05,3711,日月光投控,2.01,1629000
2026-06-05,3105,穩懋,2.01,1949000
2026-06-05,2308,台達電,1.69,344000
2026-06-05,3081,聯亞,1.55,273000
2026-06-05,6274,台燿,1.52,441000
2026-06-05,7769,鴻勁,1.41,91000
2026-06-05,8046,南電,1.29,718000
2026-06-05,7751,竑騰,1.24,375000
2026-06-05,2360,致茂,1.09,200000
2026-06-05,5274,信驊,1.08,29000
2026-06-05,3583,辛耘,1.05,566000
2026-06-05,3008,大立光,0.98,125000
2026-06-05,6510,精測,0.91,129000
2026-06-05,3653,健策,0.79,102000
2026-06-05,3189,景碩,0.67,440013
2026-06-05,4991,環宇-KY,0.55,394000
2026-06-05,8021,尖點,0.49,501000
2026-06-05,6805,富世達,0.45,109000
2026-06-05,6139,亞翔,0.43,250000
2026-06-05,2337,旺宏,0.43,1343000
2026-06-05,5289,宜鼎,0.37,98000
2026-06-05,7734,印能科技,0.37,56000
2026-06-05,3260,威剛,0.32,358000
2026-06-05,3491,昇達科,0.0,1000
2026-06-08,2330,台積電,8.57,1706000
2026-06-08,2383,台光電,5.88,563000
2026-06-08,2345,智邦,5.18,977000
2026-06-08,8996,高力,4.32,1630000
2026-06-08,3037,欣興,4.18,2097000
2026-06-08,2059,川湖,3.96,293000
2026-06-08,6223,旺矽,3.94,326000
2026-06-08,3665,貿聯-KY,3.92,855000
2026-06-08,6669,緯穎,3.68,319000
2026-06-08,2454,聯發科,3.62,406000
2026-06-08,3017,奇鋐,3.57,634000
2026-06-08,6584,南俊國際,3.01,2204000
2026-06-08,3443,創意,2.9,311000
2026-06-08,2368,金像電,2.81,945000
2026-06-08,6515,穎崴,2.66,145000
2026-06-08,2327,國巨*,2.57,1566000
2026-06-08,3661,世芯-KY,2.39,262000
2026-06-08,8299,群聯,2.19,445000
2026-06-08,2455,全新,2.17,2753000
2026-06-08,6187,萬潤,2.06,870000
2026-06-08,3711,日月光投控,1.93,1629000
2026-06-08,3105,穩懋,1.93,1949000
2026-06-08,2308,台達電,1.7,344000
2026-06-08,6274,台燿,1.48,441000
2026-06-08,7769,鴻勁,1.4,91000
2026-06-08,8046,南電,1.31,718000
2026-06-08,7751,竑騰,1.17,375000
2026-06-08,5274,信驊,1.11,29000
2026-06-08,2360,致茂,1.07,200000
2026-06-08,6510,精測,1.01,129000
2026-06-08,3583,辛耘,1.0,566000
2026-06-08,3008,大立光,0.97,125000
2026-06-08,3653,健策,0.85,102000
2026-06-08,3189,景碩,0.67,440013
2026-06-08,3363,上詮,0.54,300000
2026-06-08,4991,環宇-KY,0.53,394000
2026-06-08,8021,尖點,0.5,501000
2026-06-08,6805,富世達,0.45,109000
2026-06-08,2337,旺宏,0.42,1343000
2026-06-08,6139,亞翔,0.4,250000
2026-06-08,5289,宜鼎,0.39,98000
2026-06-08,7734,印能科技,0.37,56000
2026-06-08,3260,威剛,0.32,358000
2026-06-08,3491,昇達科,0.0,1000
2026-06-09,2330,台積電,8.28,1706000
2026-06-09,2383,台光電,6.01,563000
2026-06-09,2345,智邦,5.09,977000
2026-06-09,8996,高力,4.57,1630000
2026-06-09,3017,奇鋐,4.34,809000
2026-06-09,3665,貿聯-KY,4.34,955000
2026-06-09,3037,欣興,4.28,2097000
2026-06-09,2059,川湖,4.19,293000
2026-06-09,6223,旺矽,4.04,326000
2026-06-09,2454,聯發科,3.83,406000
2026-06-09,6669,緯穎,3.56,319000
2026-06-09,6584,南俊國際,3.1,2204000
2026-06-09,2368,金像電,2.98,945000
2026-06-09,6187,萬潤,2.9,1220000
2026-06-09,3443,創意,2.82,311000
2026-06-09,2327,國巨*,2.72,1566000
2026-06-09,6515,穎崴,2.63,145000
2026-06-09,3661,世芯-KY,2.35,262000
2026-06-09,2455,全新,2.29,2753000
2026-06-09,8299,群聯,2.21,445000
2026-06-09,3105,穩懋,2.04,1949000
2026-06-09,3711,日月光投控,1.95,1629000
2026-06-09,3653,健策,1.77,214000
2026-06-09,2308,台達電,1.75,344000
2026-06-09,6274,台燿,1.5,441000
2026-06-09,8046,南電,1.38,718000
2026-06-09,7769,鴻勁,1.33,91000
2026-06-09,7751,竑騰,1.17,375000
2026-06-09,5274,信驊,1.09,29000
2026-06-09,3583,辛耘,1.03,566000
2026-06-09,3008,大立光,1.02,125000
2026-06-09,2360,致茂,1.01,200000
2026-06-09,6510,精測,0.92,129000
2026-06-09,3189,景碩,0.66,440013
2026-06-09,8021,尖點,0.53,501000
2026-06-09,3363,上詮,0.52,300000
2026-06-09,4991,環宇-KY,0.5,394000
2026-06-09,6805,富世達,0.45,109000
2026-06-09,5289,宜鼎,0.41,98000
2026-06-09,2337,旺宏,0.41,1343000
2026-06-09,6139,亞翔,0.39,250000
2026-06-09,7734,印能科技,0.38,56000
2026-06-09,3260,威剛,0.32,358000
2026-06-09,3491,昇達科,0.0,1000
2026-06-10,2330,台積電,8.58,1706000
2026-06-10,2383,台光電,6.2,563000
2026-06-10,2345,智邦,5.15,977000
2026-06-10,3665,貿聯-KY,4.59,955000
2026-06-10,8996,高力,4.43,1630000
2026-06-10,3017,奇鋐,4.26,809000
2026-06-10,6223,旺矽,4.19,326000
2026-06-10,2059,川湖,4.16,293000
2026-06-10,3037,欣興,4.13,2097000
2026-06-10,2454,聯發科,3.76,406000
2026-06-10,2368,金像電,2.99,945000
2026-06-10,6584,南俊國際,2.95,2204000
2026-06-10,6187,萬潤,2.9,1220000
2026-06-10,2327,國巨*,2.86,1566000
2026-06-10,3443,創意,2.79,311000
2026-06-10,6515,穎崴,2.63,145000
2026-06-10,6669,緯穎,2.57,228000
2026-06-10,3661,世芯-KY,2.36,262000
2026-06-10,2455,全新,2.18,2753000
2026-06-10,8299,群聯,2.14,445000
2026-06-10,3105,穩懋,2.08,1949000
2026-06-10,3711,日月光投控,1.96,1629000
2026-06-10,3653,健策,1.81,214000
2026-06-10,2308,台達電,1.69,344000
2026-06-10,6274,台燿,1.47,441000
2026-06-10,7769,鴻勁,1.39,91000
2026-06-10,8046,南電,1.36,718000
2026-06-10,7751,竑騰,1.16,375000
2026-06-10,3008,大立光,1.15,125000
2026-06-10,5274,信驊,1.09,29000
2026-06-10,3583,辛耘,0.99,566000
2026-06-10,2360,致茂,0.99,200000
2026-06-10,3189,景碩,0.65,440013
2026-06-10,8021,尖點,0.62,501000
2026-06-10,3363,上詮,0.5,300000
2026-06-10,6805,富世達,0.43,109000
2026-06-10,7734,印能科技,0.41,56000
2026-06-10,6139,亞翔,0.41,250000
2026-06-10,2337,旺宏,0.4,1343000
2026-06-10,5289,宜鼎,0.39,98000
2026-06-10,3260,威剛,0.31,358000
2026-06-10,3491,昇達科,0.0,1000
2026-06-11,2330,台積電,8.64,1706000
2026-06-11,2383,台光電,6.45,563000
2026-06-11,3017,奇鋐,5.3,1009000
2026-06-11,2345,智邦,5.0,977000
2026-06-11,3665,貿聯-KY,4.64,955000
2026-06-11,6223,旺矽,4.47,326000
2026-06-11,2059,川湖,4.22,293000
2026-06-11,8996,高力,4.18,1630000
2026-06-11,3037,欣興,4.03,2097000
2026-06-11,2454,聯發科,3.73,406000
2026-06-11,2327,國巨*,2.97,1566000
2026-06-11,3443,創意,2.87,311000
2026-06-11,2368,金像電,2.86,945000
2026-06-11,6515,穎崴,2.85,145000
2026-06-11,6187,萬潤,2.83,1220000
2026-06-11,6584,南俊國際,2.77,2204000
2026-06-11,6669,緯穎,2.51,228000
2026-06-11,3661,世芯-KY,2.39,262000
2026-06-11,8299,群聯,2.2,445000
2026-06-11,3105,穩懋,2.11,1949000
2026-06-11,3711,日月光投控,1.99,1629000
2026-06-11,2455,全新,1.98,2753000
2026-06-11,3653,健策,1.74,214000
2026-06-11,2308,台達電,1.67,344000
2026-06-11,7769,鴻勁,1.44,91000
2026-06-11,8046,南電,1.3,718000
2026-06-11,3008,大立光,1.17,125000
2026-06-11,7751,竑騰,1.11,375000
2026-06-11,3583,辛耘,1.01,566000
2026-06-11,2360,致茂,0.99,200000
2026-06-11,8021,尖點,0.64,501000
2026-06-11,3189,景碩,0.61,440013
2026-06-11,3363,上詮,0.49,300000
2026-06-11,6805,富世達,0.43,109000
2026-06-11,2337,旺宏,0.42,1343000
2026-06-11,6139,亞翔,0.41,250000
2026-06-11,7734,印能科技,0.39,56000
2026-06-11,5289,宜鼎,0.38,98000
2026-06-11,3260,威剛,0.32,358000
2026-06-11,3491,昇達科,0.0,1000
2026-06-12,2330,台積電,8.63,1706000
2026-06-12,2383,台光電,5.96,563000
2026-06-12,3017,奇鋐,5.32,1009000
2026-06-12,2345,智邦,5.0,977000
2026-06-12,3665,貿聯-KY,4.83,955000
2026-06-12,6223,旺矽,4.63,326000
2026-06-12,2059,川湖,4.44,293000
2026-06-12,3037,欣興,4.14,2097000
2026-06-12,8996,高力,4.09,1630000
2026-06-12,2454,聯發科,3.72,406000
2026-06-12,6515,穎崴,3.05,145000
2026-06-12,3443,創意,2.98,311000
2026-06-12,2327,國巨*,2.93,1566000
2026-06-12,6187,萬潤,2.9,1220000
2026-06-12,6584,南俊國際,2.82,2204000
2026-06-12,2368,金像電,2.73,945000
2026-06-12,6669,緯穎,2.42,228000
2026-06-12,3661,世芯-KY,2.36,262000
2026-06-12,3008,大立光,2.29,260000
2026-06-12,8299,群聯,2.25,445000
2026-06-12,3105,穩懋,2.16,1949000
2026-06-12,2455,全新,2.12,2753000
2026-06-12,3711,日月光投控,2.11,1629000
2026-06-12,3653,健策,1.73,214000
2026-06-12,8021,尖點,1.72,1501000
2026-06-12,2308,台達電,1.67,344000
2026-06-12,7769,鴻勁,1.44,91000
2026-06-12,8046,南電,1.29,718000
2026-06-12,7751,竑騰,1.13,375000
2026-06-12,2360,致茂,1.01,200000
2026-06-12,3583,辛耘,1.0,566000
2026-06-12,3189,景碩,0.59,440013
2026-06-12,3363,上詮,0.48,300000
2026-06-12,6139,亞翔,0.44,250000
2026-06-12,6805,富世達,0.44,109000
2026-06-12,2337,旺宏,0.43,1343000
2026-06-12,5289,宜鼎,0.39,98000
2026-06-12,7734,印能科技,0.34,56000
2026-06-12,3260,威剛,0.32,358000
2026-06-12,3264,欣銓,0.04,72000
2026-06-12,3491,昇達科,0.0,1000
2026-06-15,2330,台積電,8.65,1706000
