資料日期,代號,名稱,投資比例(%),持有股數
2026-06-05,2330,台積電,10.11,11960000
2026-06-05,2383,台光電,7.83,4486000
2026-06-05,2454,聯發科,6.55,4263000
2026-06-05,2345,智邦,5.63,6334000
2026-06-05,2308,台達電,5.4,6572000
2026-06-05,6669,緯穎,5.04,2492000
2026-06-05,2327,國巨*,5.03,18313000
2026-06-05,3017,奇鋐,4.82,5191000
2026-06-05,6223,旺矽,4.47,2169000
2026-06-05,3037,欣興,4.16,12466000
2026-06-05,3665,貿聯-KY,3.7,4703848
2026-06-05,3711,日月光投控,3.7,17948000
2026-06-05,2368,金像電,3.65,7769000
2026-06-05,2303,聯電,3.37,71690000
2026-06-05,8046,南電,3.27,10828000
2026-06-05,3653,健策,2.93,2267000
2026-06-05,5274,信驊,2.64,422000
2026-06-05,6274,台燿,2.53,4400000
2026-06-05,6515,穎崴,1.33,442000
2026-06-05,6805,富世達,1.23,1761000
2026-06-05,6510,精測,1.1,930000
2026-06-05,8210,勤誠,1.06,2167000
2026-06-05,2382,廣達,0.76,5441000
2026-06-05,2317,鴻海,0.74,7307000
2026-06-05,3533,嘉澤,0.72,852000
2026-06-05,6147,頎邦,0.56,5775000
2026-06-05,6187,萬潤,0.53,1334000
2026-06-05,2404,漢唐,0.52,1200000
2026-06-05,5439,高技,0.46,3528000
2026-06-05,4966,譜瑞-KY,0.43,1642000
2026-06-05,8996,高力,0.42,1034000
2026-06-05,8150,南茂,0.4,11635000
2026-06-05,2449,京元電子,0.4,3645000
2026-06-05,6278,台表科,0.28,3734000
2026-06-05,3443,創意,0.26,167000
2026-06-05,1590,亞德客-KY,0.25,530000
2026-06-05,8358,金居,0.21,980000
2026-06-05,3376,新日興,0.15,1741000
2026-06-05,6191,精成科,0.14,3988000
2026-06-05,6271,同欣電,0.06,686000
2026-06-05,2002,中鋼,0.04,5163000
2026-06-05,2313,華通,0.03,329000
2026-06-05,1319,東陽,0.02,511000
2026-06-05,1815,富喬,0.0,107000
2026-06-05,2439,美律,0.0,18000
2026-06-05,5347,世界,0.0,1000
2026-06-05,3661,世芯-KY,0.0,1000
2026-06-05,3264,欣銓,0.0,1000
2026-06-05,2481,強茂,0.0,5000
2026-06-05,3008,大立光,0.0,1000
2026-06-08,2330,台積電,10.03,11960000
2026-06-08,2383,台光電,7.82,4486000
2026-06-08,2454,聯發科,6.55,4405000
2026-06-08,2345,智邦,5.6,6334000
2026-06-08,2308,台達電,5.41,6572000
2026-06-08,2327,國巨*,5.03,18313000
2026-06-08,3017,奇鋐,4.87,5191000
2026-06-08,6669,緯穎,4.8,2492000
2026-06-08,6223,旺矽,4.37,2169000
2026-06-08,3037,欣興,4.15,12466000
2026-06-08,2368,金像電,3.95,7949000
2026-06-08,3665,貿聯-KY,3.6,4703848
2026-06-08,3711,日月光投控,3.54,17948000
2026-06-08,8046,南電,3.29,10828000
2026-06-08,2303,聯電,3.17,71690000
2026-06-08,3653,健策,3.16,2267000
2026-06-08,5274,信驊,2.7,422000
2026-06-08,6274,台燿,2.47,4400000
2026-06-08,6515,穎崴,1.35,442000
2026-06-08,6805,富世達,1.22,1761000
2026-06-08,6510,精測,1.21,930000
2026-06-08,8210,勤誠,1.09,2167000
2026-06-08,2382,廣達,0.75,5441000
2026-06-08,2317,鴻海,0.72,7307000
2026-06-08,3533,嘉澤,0.71,852000
2026-06-08,6187,萬潤,0.53,1334000
2026-06-08,6147,頎邦,0.51,5775000
2026-06-08,2404,漢唐,0.49,1200000
2026-06-08,5439,高技,0.46,3528000
2026-06-08,8996,高力,0.46,1034000
2026-06-08,4966,譜瑞-KY,0.4,1642000
2026-06-08,2449,京元電子,0.38,3645000
2026-06-08,8150,南茂,0.37,11635000
2026-06-08,6278,台表科,0.27,3734000
2026-06-08,3443,創意,0.26,167000
2026-06-08,1590,亞德客-KY,0.25,530000
2026-06-08,8358,金居,0.21,980000
2026-06-08,3376,新日興,0.15,1741000
2026-06-08,6191,精成科,0.14,3988000
2026-06-08,6271,同欣電,0.05,686000
2026-06-08,2002,中鋼,0.04,5163000
2026-06-08,2313,華通,0.03,329000
2026-06-08,1319,東陽,0.02,511000
2026-06-08,1815,富喬,0.0,107000
2026-06-08,2439,美律,0.0,18000
2026-06-08,5347,世界,0.0,1000
2026-06-08,3661,世芯-KY,0.0,1000
2026-06-08,3264,欣銓,0.0,1000
2026-06-08,2481,強茂,0.0,5000
2026-06-08,3008,大立光,0.0,1000
2026-06-09,2330,台積電,9.63,11960000
2026-06-09,2383,台光電,7.94,4486000
2026-06-09,2454,聯發科,7.27,4649000
2026-06-09,2308,台達電,5.55,6572000
2026-06-09,2345,智邦,5.48,6334000
2026-06-09,2327,國巨*,5.29,18313000
2026-06-09,3017,奇鋐,4.62,5191000
2026-06-09,6669,緯穎,4.62,2492000
2026-06-09,6223,旺矽,4.46,2169000
2026-06-09,2368,金像電,4.34,8315000
2026-06-09,3037,欣興,4.22,12466000
2026-06-09,3711,日月光投控,3.57,17948000
2026-06-09,3665,貿聯-KY,3.54,4703848
2026-06-09,8046,南電,3.46,10828000
2026-06-09,2303,聯電,3.28,73690000
2026-06-09,3653,健策,3.12,2267000
2026-06-09,5274,信驊,2.63,422000
2026-06-09,6274,台燿,2.62,4643000
2026-06-09,6515,穎崴,1.33,442000
2026-06-09,6805,富世達,1.2,1761000
2026-06-09,8210,勤誠,1.2,2267000
2026-06-09,6510,精測,1.1,930000
2026-06-09,2317,鴻海,0.71,7307000
2026-06-09,3533,嘉澤,0.7,852000
2026-06-09,6187,萬潤,0.53,1334000
2026-06-09,6147,頎邦,0.51,5775000
2026-06-09,2404,漢唐,0.5,1200000
2026-06-09,8996,高力,0.48,1034000
2026-06-09,5439,高技,0.45,3528000
2026-06-09,4966,譜瑞-KY,0.4,1642000
2026-06-09,8150,南茂,0.39,11635000
2026-06-09,2449,京元電子,0.37,3645000
2026-06-09,6278,台表科,0.26,3734000
2026-06-09,3443,創意,0.25,167000
2026-06-09,1590,亞德客-KY,0.24,530000
2026-06-09,8358,金居,0.21,980000
2026-06-09,6191,精成科,0.14,3988000
2026-06-09,3376,新日興,0.14,1741000
2026-06-09,2382,廣達,0.06,422000
2026-06-09,6271,同欣電,0.06,686000
2026-06-09,2002,中鋼,0.03,5163000
2026-06-09,2313,華通,0.03,329000
2026-06-09,1319,東陽,0.02,511000
2026-06-09,1815,富喬,0.0,107000
2026-06-09,2439,美律,0.0,18000
2026-06-09,3661,世芯-KY,0.0,1000
2026-06-09,3264,欣銓,0.0,1000
2026-06-09,2481,強茂,0.0,5000
2026-06-09,3008,大立光,0.0,1000
2026-06-09,5347,世界,0.0,1000
2026-06-10,2330,台積電,9.9,11960000
2026-06-10,2383,台光電,8.13,4486000
2026-06-10,2454,聯發科,7.09,4649000
2026-06-10,2327,國巨*,5.86,19513000
2026-06-10,2345,智邦,5.5,6334000
2026-06-10,2308,台達電,5.31,6572000
2026-06-10,6669,緯穎,4.63,2492000
2026-06-10,6223,旺矽,4.59,2169000
2026-06-10,3017,奇鋐,4.5,5191000
2026-06-10,2368,金像電,4.33,8315000
2026-06-10,3037,欣興,4.04,12466000
2026-06-10,3665,貿聯-KY,3.72,4703848
2026-06-10,3711,日月光投控,3.55,17948000
2026-06-10,8046,南電,3.37,10828000
2026-06-10,2303,聯電,3.2,73690000
2026-06-10,3653,健策,3.16,2267000
2026-06-10,6274,台燿,2.62,4763000
2026-06-10,5274,信驊,2.61,422000
2026-06-10,6515,穎崴,1.32,442000
2026-06-10,8210,勤誠,1.2,2267000
2026-06-10,6805,富世達,1.13,1761000
2026-06-10,6510,精測,1.09,930000
2026-06-10,2317,鴻海,0.71,7307000
2026-06-10,3533,嘉澤,0.68,852000
2026-06-10,6187,萬潤,0.52,1334000
2026-06-10,2404,漢唐,0.51,1200000
2026-06-10,6147,頎邦,0.48,5775000
2026-06-10,8996,高力,0.46,1034000
2026-06-10,5439,高技,0.46,3528000
2026-06-10,4966,譜瑞-KY,0.4,1642000
2026-06-10,8150,南茂,0.38,11635000
2026-06-10,2449,京元電子,0.36,3645000
2026-06-10,6278,台表科,0.26,3734000
2026-06-10,1590,亞德客-KY,0.25,530000
2026-06-10,3443,創意,0.25,167000
2026-06-10,8358,金居,0.2,980000
2026-06-10,3376,新日興,0.14,1741000
2026-06-10,6191,精成科,0.14,3988000
2026-06-10,6271,同欣電,0.06,686000
2026-06-10,2002,中鋼,0.04,5163000
2026-06-10,2313,華通,0.03,329000
2026-06-10,1319,東陽,0.02,511000
2026-06-10,1815,富喬,0.0,107000
2026-06-10,2439,美律,0.0,18000
2026-06-10,2382,廣達,0.0,1000
2026-06-10,5347,世界,0.0,1000
2026-06-10,3661,世芯-KY,0.0,1000
2026-06-10,3264,欣銓,0.0,1000
2026-06-10,2481,強茂,0.0,5000
2026-06-10,3008,大立光,0.0,1000
2026-06-11,2330,台積電,9.73,11960000
2026-06-11,2383,台光電,8.26,4486000
2026-06-11,2454,聯發科,6.87,4649000
2026-06-11,2327,國巨*,6.44,21168000
2026-06-11,2345,智邦,5.21,6334000
2026-06-11,2308,台達電,5.13,6572000
2026-06-11,6223,旺矽,4.78,2169000
2026-06-11,6669,緯穎,4.41,2492000
2026-06-11,3017,奇鋐,4.38,5191000
2026-06-11,2368,金像電,4.04,8315000
2026-06-11,3037,欣興,3.85,12466000
2026-06-11,3665,貿聯-KY,3.74,4783848
2026-06-11,3711,日月光投控,3.53,17948000
2026-06-11,2303,聯電,3.33,73690000
2026-06-11,8046,南電,3.16,10828000
2026-06-11,3653,健策,2.97,2267000
2026-06-11,5274,信驊,2.69,422000
2026-06-11,6274,台燿,2.54,4763000
2026-06-11,6515,穎崴,1.39,442000
2026-06-11,8210,勤誠,1.18,2267000
2026-06-11,6510,精測,1.14,930000
2026-06-11,6805,富世達,1.11,1761000
2026-06-11,2317,鴻海,0.68,7307000
2026-06-11,3533,嘉澤,0.66,852000
2026-06-11,2404,漢唐,0.52,1200000
2026-06-11,6187,萬潤,0.5,1334000
2026-06-11,6147,頎邦,0.46,5775000
2026-06-11,5439,高技,0.44,3528000
2026-06-11,8996,高力,0.43,1034000
2026-06-11,8150,南茂,0.41,11635000
2026-06-11,4966,譜瑞-KY,0.39,1642000
2026-06-11,2449,京元電子,0.36,3645000
2026-06-11,6278,台表科,0.26,3734000
2026-06-11,3443,創意,0.25,167000
2026-06-11,1590,亞德客-KY,0.24,530000
2026-06-11,8358,金居,0.19,980000
2026-06-11,3376,新日興,0.13,1741000
2026-06-11,6191,精成科,0.13,3988000
2026-06-11,6271,同欣電,0.05,686000
2026-06-11,2002,中鋼,0.03,5163000
2026-06-11,2313,華通,0.03,329000
2026-06-11,1319,東陽,0.01,278000
2026-06-11,1815,富喬,0.0,107000
2026-06-11,2439,美律,0.0,18000
2026-06-11,2382,廣達,0.0,1000
2026-06-11,5347,世界,0.0,1000
2026-06-11,3661,世芯-KY,0.0,1000
2026-06-11,3264,欣銓,0.0,1000
